"","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness"
"Romania","82","82","82","81","73","","90","55"
"Russian Federation","","100","81","81","","","100","100"
"Rwanda","70","","26","26","8","","",""
"Saint Kitts and Nevis","92","","33","","36","40","",""
"Saint Lucia","","60","25","25","","50","0","39"
"Saint Vincent and the Grenadines","","28","53","53","36","10","",""
"Samoa","","","71","71","61","80","62",""
"San Marino","25","","","","","","","0"
"Sao Tome and Principe","8","8","8","8","8","0","0","7"
"Saudi Arabia","100","100","","100","100","100","100","100"
"Senegal","35","","","","","30","32",""
"Serbia","63","45","","36","","","0",""
"Seychelles","90","82","80","90","8","0","0","0"
"Sierra Leone","60","55","","50","33","","52","0"
"Singapore","100","100","100","100","100","100","100","100"
"Slovakia","100","100","100","100","100","90","80","42"
"Slovenia","75","75","75","66","62","40","47","62"
"Solomon Islands","43","","43","43","41","10","",""
"Somalia","0","","","0","16","","",""
"South Africa","100","","100","100","83","80","50","48"
"South Sudan","47","","90","90","90","","",""
"Spain","100","100","100","100","83","100","32","7"
"Sri Lanka","45","62","61","61","53","50","55","51"
"Sudan","70","","","81","65","60","12","46"
"Suriname","70","100","100","83","48","50","20",""
"Sweden","83","83","83","83","83","100","90","80"
"Switzerland","100","100","100","100","91","100","100","73"
"Syrian Arab Republic","37","","","16","16","20","30","19"
"Tajikistan","","","100","100","","90","100",""
"Thailand","100","100","","100","90","90","87","73"
"Republic of North Macedonia","90","90","80","80","61","","25",""
"Timor-Leste","80","80","80","80","38","20","22","26"
"Togo","53","","63","63","80","","12","0"
"Tonga","","","","","80","10","55","12"
"Trinidad and Tobago","100","80","71","71","71","50","","51"
"Tunisia","60","27","","16","8","40","32",""
"Turkey","80","","","61","","70","","32"
"Turkmenistan","","","","91","","","87",""
"Tuvalu","55","","100","","91","100","",""
"Uganda","82","","","","80","60","50","7"
"Ukraine","55","","100","","","","",""
"United Arab Emirates","100","100","100","100","100","50","42","12"
"United Kingdom of Great Britain and Northern Ireland","100","100","","No data","No data","No data","No data","No data"
"United Republic of Tanzania","82","","52","25","16","40","65",""
"United States of America","100","100","100","100","100","100","80","87"
"Uruguay","100","90","90","","81","","",""
"Uzbekistan","","","","91","","","100",""
"Vanuatu","83","","35","","81","0","","0"
"Venezuela (Bolivarian Republic of)","100","100","100","100","80","80","10",""
"Viet Nam","92","100","100","100","90","70","100","35"
"Yemen","10","","","18","18","40","",""
"Zambia","73","","","100","100","100","67",""
"Zimbabwe","53","80","","63","","","55",""
